AUC 0.14564
Cutoff 1.00: frr=1.0000; faph=0.000
Cutoff 0.99: frr=0.0317; faph=0.187
Cutoff 0.98: frr=0.0293; faph=0.375
Cutoff 0.96: frr=0.0293; faph=0.562
Cutoff 0.94: frr=0.0293; faph=0.750
Cutoff 0.93: frr=0.0293; faph=0.937
Cutoff 0.85: frr=0.0293; faph=1.125
Cutoff 0.82: frr=0.0293; faph=1.312
Cutoff 0.79: frr=0.0220; faph=1.500
Cutoff 0.77: frr=0.0220; faph=1.687
Cutoff 0.77: frr=0.0220; faph=2.000
